grid_id,imp_percent,imp_score,flood_score,greenscore,greenview,treeestima,stormwater_managed,overall_score
58,75.70137673,2,0,5,34.09711806,137,104120,2
59,95.80007482,0,3,2,8.720697338,315,239400,2
60,84.58440891,0,3,4,14.77672743,304,231040,2
61,88.82947196,0,3,4,17.92171569,248,188480,2
62,,0,5,0,0,0,0,2
63,67.89556285,2,0,2,8.3371875,30,22800,1
64,78.41862987,2,0,5,22.40434351,723,549480,2
65,78.61569903,2,0,0,0,0,0,1
66,,0,0,0,0,0,0,0
67,22.5942371,5,0,4,14.834375,84,63840,3
68,88.57199582,0,3,3,10.15102708,459,348840,2
69,92.08899858,0,3,2,7.382964015,78,59280,2
70,93.11488421,0,3,2,6.122021684,282,214320,2
71,81.12602916,0,3,4,16.36045406,504,383040,2
72,81.95934138,0,3,3,11.15558256,285,216600,2
73,41.57256746,4,0,5,18.43958946,236,179360,3
74,7.671556851,5,0,0,0,0,0,2
75,63.42208303,3,1,5,18.43267113,201,152760,3
76,,0,4,0,0,0,0,1
77,90.16741563,0,1,4,14.69499256,356,270560,2
78,4.256171756,5,1,5,23.79419271,69,52440,4
79,93.59668049,0,3,3,12.73445366,518,393680,2
80,99.13182878,0,0,3,11.505625,18,13680,1
81,86.65472728,0,3,2,9.35739805,408,310080,2
82,43.31741347,4,0,0,0,0,0,1
83,83.83456095,0,0,2,8.399261006,434,329840,1
84,55.70561851,3,3,4,16.6612125,331,251560,3
85,,0,0,0,0,0,0,0
86,,0,0,0,0,0,0,0
87,,0,4,0,0,0,0,1
88,56.24785812,3,0,0,0,0,0,1
89,90.93547158,0,0,5,25.56592803,835,634600,2
90,60.0830456,3,3,0,0,0,0,2
91,84.81289682,0,3,5,19.12016435,663,503880,3
92,86.56586981,0,3,5,19.43275849,421,319960,3
93,89.34796782,0,3,4,14.26395127,712,541120,2
94,90.56494295,0,3,2,7.044284188,282,214320,2
95,54.86965591,3,0,4,14.54654018,168,127680,2
96,94.64949415,0,0,4,13.78378968,252,191520,1
97,76.7785844,2,3,3,10.54666667,500,380000,3
98,96.02353048,0,0,5,19.8445,222,168720,2
99,100,0,0,0,0,0,0,0
100,,0,0,0,0,0,0,0
101,79.02262854,2,3,4,16.44699013,255,193800,3
102,63.93555901,3,0,2,7.092048611,24,18240,2
103,17.28554757,5,0,0,0,0,0,2
104,92.40456759,0,1,4,13.83646267,286,217360,2
105,92.50411836,0,1,3,11.25096065,96,72960,1
106,88.26171172,0,1,2,7.796008065,258,196080,1
107,76.10892724,2,1,5,22.55413043,376,285760,3
